+ virbr0 IPv4 me [ea:b0:af:b4:48:35]                        Workstation          local
+  wlan0 IPv6 jyoti [20:68:9d:81:4b:5e]                     Workstation          local
+  wlan0 IPv6 rudra-2                                       Remote Disk Management local
+  wlan0 IPv6 rudraa                                        Remote Disk Management local
+  wlan0 IPv6 sriramk-OptiPlex-9020                         Remote Disk Management local
+  wlan0 IPv4 sudhir [f4:b7:e2:b0:61:3b]                    Workstation          local
+  wlan0 IPv6 linux-2                                       Remote Disk Management local
+  wlan0 IPv6 IITVandeMatram                                Remote Disk Management local
+  wlan0 IPv6 Nucleation                                    Remote Disk Management local
+  wlan0 IPv4 pclab-61                                      Remote Disk Management local
+  wlan0 IPv4 tulika-OptiPlex-9010                          Remote Disk Management local
+  wlan0 IPv4 lanka                                         Remote Disk Management local
+  wlan0 IPv4 mk-desktop                                    Remote Disk Management local
+  wlan0 IPv4 LIBRARY01                                     Remote Disk Management local
+  wlan0 IPv6 berlin                                        Remote Disk Management local
+  wlan0 IPv4 Research                                      Remote Disk Management local
+  wlan0 IPv4 hvarma                                        Remote Disk Management local
+  wlan0 IPv4 aghori                                        Remote Disk Management local
+  wlan0 IPv6 LigoDLB 5-20 (10.8.2.200, 00:19:3B:08:EA:CC)  Web Site             local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (F349E0)             Web Site             local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (F349E0)             PDL Printer          local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (F349E0)             UNIX Printer         local
+  wlan0 IPv6 utkarsh [70:77:81:bf:3f:39]                   Workstation          local
+  wlan0 IPv6 kiriti-Inspiron-5520                          Remote Disk Management local
+  wlan0 IPv6 sudhir                                        Remote Disk Management local
+  wlan0 IPv4 gat-Precision-T7600                           Remote Disk Management local
+  wlan0 IPv4 pathak-HP-Z600-Workstation                    Remote Disk Management local
+  wlan0 IPv4 anjana-desktop                                Remote Disk Management local
+  wlan0 IPv4 subashish                                     Remote Disk Management local
+  wlan0 IPv6 HP LaserJet pro M1536dnf MFP (CE538A)         Web Site             local
+  wlan0 IPv6 HP LaserJet pro M1536dnf MFP (CE538A)         PDL Printer          local
+  wlan0 IPv6 HP LaserJet pro M1536dnf MFP (CE538A)         UNIX Printer         local
+  wlan0 IPv6 duggal [84:a6:c8:29:e2:5d]                    Workstation          local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (6DB38D)             Web Site             local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (6DB38D)             PDL Printer          local
+  wlan0 IPv6 HP LaserJet M1536dnf MFP (6DB38D)             UNIX Printer         local
+  wlan0 IPv4 anshu-HP-Pavilion-g6-Notebook-PC [c0:18:85:94:6a:d5] Workstation          local
+  wlan0 IPv4 amit-2 [b0:10:41:b2:40:b3]                    Workstation          local
+  wlan0 IPv4 dell-Inspiron-660s                            Remote Disk Management local
+  wlan0 IPv4 jiten-2                                       Remote Disk Management local
+  wlan0 IPv4 network                                       Remote Disk Management local
+  wlan0 IPv4 rudra                                         Remote Disk Management local
+  wlan0 IPv4 kartik                                        Remote Disk Management local
+  wlan0 IPv4 jyoti [20:68:9d:81:4b:5e]                     Workstation          local
+  wlan0 IPv4 rudraa                                        Remote Disk Management local
+  wlan0 IPv4 linux-2                                       Remote Disk Management local
+  wlan0 IPv4 IITVandeMatram                                Remote Disk Management local
+  wlan0 IPv4 Nucleation                                    Remote Disk Management local
+  wlan0 IPv4 berlin                                        Remote Disk Management local
+  wlan0 IPv4 Tushaar                                       _ni-logos._tcp       local
+  wlan0 IPv4 DESKTOP-G6ICUIS                               _ni-logos._tcp       local
+  wlan0 IPv4 hp                                            _ni-logos._tcp       local
+  wlan0 IPv4 HP Web-based Configuration                    Web Site             local
+  wlan0 IPv4 LigoDLB 5-20 (10.8.2.200, 00:19:3B:08:EA:CC)  Web Site             local
+  wlan0 IPv4 HP LaserJet M1536dnf MFP (F349E0)             Web Site             local
+  wlan0 IPv4 HP LaserJet M1536dnf MFP (F349E0)             PDL Printer          local
+  wlan0 IPv4 HP LaserJet M1536dnf MFP (F349E0)             UNIX Printer         local
+  wlan0 IPv4 kiriti-Inspiron-5520                          Remote Disk Management local
+  wlan0 IPv4 sudhir                                        Remote Disk Management local
+  wlan0 IPv4 Salam                                         _ni-logos._tcp       local
+  wlan0 IPv4 HP LaserJet pro M1536dnf MFP (CE538A)         PDL Printer          local
+  wlan0 IPv4 HP LaserJet pro M1536dnf MFP (CE538A)         UNIX Printer         local
+  wlan0 IPv4 HP LaserJet M1536dnf MFP (6DB38D)             Web Site             local
